USPS,GEOID,ANSICODE,NAME,Countym,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
CO,8103,198167,Rio Blanco County,"Rio Blanco County, CO",8342275014,4868111,3220.971,1.88,39.972622,-108.200716
CO,8105,198168,Rio Grande County,"Rio Grande County, CO",2361956092,984295,911.956,0.38,37.485853,-106.453128
CO,8107,198169,Routt County,"Routt County, CO",6117602807,15831744,2362.02,6.113,40.483664,-106.987702
CO,8109,198170,Saguache County,"Saguache County, CO",8206547705,4454510,3168.566,1.72,38.031651,-106.234666
CO,8111,198171,San Juan County,"San Juan County, CO",1003660672,2035929,387.516,0.786,37.781049,-107.670257
CO,8113,198172,San Miguel County,"San Miguel County, CO",3332606082,5204095,1286.726,2.009,38.009319,-108.427263
CO,8115,198173,Sedgwick County,"Sedgwick County, CO",1419419016,3530746,548.041,1.363,40.871568,-102.355358
CO,8117,198174,Summit County,"Summit County, CO",1575590637,28283537,608.339,10.92,39.621023,-106.137555
CO,8119,198175,Teller County,"Teller County, CO",1442732301,4946547,557.042,1.91,38.869976,-105.187365
CO,8121,198176,Washington County,"Washington County, CO",6521806798,15207401,2518.084,5.872,39.96579,-103.209744
CO,8123,198177,Weld County,"Weld County, CO",10320918528,82403821,3984.929,31.816,40.555961,-104.383666
CO,8125,198178,Yuma County,"Yuma County, CO",6123763561,11134665,2364.398,4.299,40.00077,-102.421649
NM,35001,1702363,Bernalillo County,"Bernalillo County, NM",3007645106,15849400,1161.258,6.119,35.053628,-106.66908
NM,35003,929108,Catron County,"Catron County, NM",17933559836,14195265,6924.186,5.481,33.901621,-108.391928
NM,35005,1702364,Chaves County,"Chaves County, NM",15713907540,20479488,6067.174,7.907,33.361604,-104.469837
NM,35006,933051,Cibola County,"Cibola County, NM",11758505180,5554603,4539.984,2.145,34.928272,-107.99268
NM,35007,929117,Colfax County,"Colfax County, NM",9733110165,26299632,3757.975,10.154,36.612964,-104.64011
NM,35009,933053,Curry County,"Curry County, NM",3640261520,8027146,1405.513,3.099,34.572984,-103.346055
NM,35011,933054,De Baca County,"De Baca County, NM",6016819475,29089486,2323.107,11.232,34.359273,-104.368696
NM,35013,929109,DoÒa Ana County,"DoÒa Ana County, NM",9863164217,17589892,3808.189,6.791,32.349919,-106.834968
NM,35015,936829,Eddy County,"Eddy County, NM",10816683024,56498061,4176.345,21.814,32.457835,-104.306434
NM,35017,915980,Grant County,"Grant County, NM",10259475126,15298388,3961.206,5.907,32.732087,-108.381504
NM,35019,929111,Guadalupe County,"Guadalupe County, NM",7847072129,2887948,3029.772,1.115,34.869782,-104.784968
NM,35021,933055,Harding County,"Harding County, NM",5504963123,1162620,2125.478,0.449,35.858516,-103.847925
NM,35023,929106,Hidalgo County,"Hidalgo County, NM",8905760686,23582051,3438.534,9.105,31.898052,-108.751929
NM,35025,1702365,Lea County,"Lea County, NM",11373854756,8356103,4391.47,3.226,32.795687,-103.413271
NM,35027,929116,Lincoln County,"Lincoln County, NM",12512530057,554839,4831.115,0.214,33.740841,-105.449805
NM,35028,1702366,Los Alamos County,"Los Alamos County, NM",282843396,208105,109.206,0.08,35.870047,-106.307968
NM,35029,933057,Luna County,"Luna County, NM",7679776973,433660,2965.179,0.167,32.184523,-107.747191
NM,35031,929107,McKinley County,"McKinley County, NM",14117193195,13684636,5450.679,5.284,35.583878,-108.253266
NM,35033,1702367,Mora County,"Mora County, NM",4988962825,6093304,1926.249,2.353,35.982841,-104.921898
NM,35035,929104,Otero County,"Otero County, NM",17126456785,36943378,6612.562,14.264,32.615599,-105.751308
NM,35037,929110,Quay County,"Quay County, NM",7443508573,18554572,2873.955,7.164,35.107018,-103.548071
NM,35039,1702368,Rio Arriba County,"Rio Arriba County, NM",15179590198,91466278,5860.873,35.315,36.509669,-106.693983
